ensembl_gene_id	gene_biotype	external_gene_name	chromosome_name	logFC	AveExpr	t	P.Value	adj.P.Val	B
ENSG00000133216	protein_coding	EPHB2	1	-1.80500542541262	2.33681665812776	-6.69775000102522	1.89526606969831e-08	0.000252436748003998	7.90937184629599
ENSG00000115155	protein_coding	OTOF	2	-3.54916606702682	1.54429367470226	-6.5069441974194	3.75175370445119e-08	0.000252436748003998	7.52720420174009
ENSG00000168003	protein_coding	SLC3A2	11	-0.456802612993049	5.60975034478702	-4.90508725903929	1.05755802461181e-05	0.0452276746559346	3.1956786087641
ENSG00000173786	protein_coding	CNP	17	-0.861316411997445	5.56190363124525	-4.80150704065292	1.50552414216831e-05	0.0452276746559346	2.8801478239249
ENSG00000184979	protein_coding	USP18	22	-2.31222054305389	2.46253070123274	-4.76913774789578	1.68045161090639e-05	0.0452276746559346	2.63777908361247
ENSG00000130487	protein_coding	KLHDC7B	22	-1.12790192090536	3.17381548158287	-4.55439972318378	3.46403023439845e-05	0.0654410980705993	2.02578576854298
ENSG00000223960	lncRNA	CHROMR	2	-0.752321015774167	4.15051078012543	-4.53306865036878	3.71991582492309e-05	0.0654410980705993	2.05856812572618
ENSG00000108679	protein_coding	LGALS3BP	17	-1.42906395288411	4.7110628877113	-4.5196406149189	3.8903825857531e-05	0.0654410980705993	2.04191536440002
ENSG00000188157	protein_coding	AGRN	1	-1.59000865123995	3.77469379478236	-4.47663981930973	4.48926486096944e-05	0.0671244858156285	1.89479919959768
ENSG00000173801	protein_coding	JUP	17	-1.59192442442348	4.36848993723575	-4.41396679598164	5.5263471443964e-05	0.0743680535221424	1.7325878506492
ENSG00000196141	protein_coding	SPATS2L	2	-1.99401029416289	3.4655584999732	-4.3827932288977	6.12587433666453e-05	0.074941719044086	1.61948113586881
ENSG00000138642	protein_coding	HERC6	4	-1.40584980742457	5.36161722937265	-4.2633767102071	9.06663738000717e-05	0.0939686604987146	1.29601047031828
ENSG00000163644	protein_coding	PPM1K	4	-0.720808158757666	6.42046510099797	-4.26300176905087	9.07774828329709e-05	0.0939686604987146	1.28998705097072
ENSG00000121281	protein_coding	ADCY7	16	-0.493838401557522	8.69613987777758	-4.13926693197696	0.000135683202622821	0.128757847781537	0.79297532006984
ENSG00000143554	protein_coding	SLC27A3	1	-0.85716795611189	4.29881074055579	-4.12186255716907	0.000143521417605934	0.128757847781537	0.89206989258764
ENSG00000188282	protein_coding	RUFY4	2	-1.63842756450753	1.73048105406839	-4.0590948639469	0.000175605433390125	0.136759129702324	0.347748217794249
ENSG00000247317	lncRNA	LY6E-DT	8	-1.25908037027482	0.832228455251788	-4.05506419821322	0.000177887749045207	0.136759129702324	0.0151409830462619
ENSG00000117266	protein_coding	CDK18	1	-0.856715887755634	1.81365345817752	-4.04633723184732	0.000182928166355193	0.136759129702324	0.196571340193858
ENSG00000280007	lncRNA	AC008079.1	22	-1.08057782513358	1.81307620297333	-4.02590896488149	0.000195273606521242	0.138305101208229	0.389036912334012
ENSG00000072121	protein_coding	ZFYVE26	14	-0.553125299647151	6.61291577020011	-3.97671303680707	0.00022840432201937	0.153681848070733	0.494223726385482
ENSG00000181908	lncRNA	LINC02724	11	-0.784928171191528	1.23791503207289	-3.85605177492424	0.000334294850732199	0.21031718684717	-0.541679962515755
ENSG00000110497	protein_coding	AMBRA1	11	-0.405012983308178	6.23750217778496	-3.82917117839836	0.000363648707979312	0.21031718684717	0.10058383194009
ENSG00000166164	protein_coding	BRD7	16	-0.338558095617401	5.79399395753691	-3.8250653198606	0.000368345471872668	0.21031718684717	0.091690664563453
ENSG00000003400	protein_coding	CASP10	2	-0.576674754547366	6.58219116682092	-3.81925500143315	0.000375091958410647	0.21031718684717	0.0667493466585078
ENSG00000162909	protein_coding	CAPN2	1	-0.480031393924113	7.7399015630759	-3.77605217886452	0.000429122207880041	0.213440449184599	-0.0837276301003813
ENSG00000177294	protein_coding	FBXO39	17	-1.34195579170142	0.702545770080265	-3.75838912842833	0.000453303836949506	0.213440449184599	-0.511736332583474
ENSG00000227500	protein_coding	SCAMP4	19	-0.354580451831798	4.75962063158939	-3.74801056743349	0.000468118138359851	0.213440449184599	-0.120863912398726
ENSG00000105726	protein_coding	ATP13A1	19	-0.39826519409947	6.24213538827416	-3.74581499395199	0.000471311184826296	0.213440449184599	-0.124984466758628
ENSG00000054219	protein_coding	LY75	2	0.404337779630362	4.53849900602347	3.74504552995346	0.000472435170188118	0.213440449184599	-0.136296835110176
ENSG00000237272	unitary_pseudogene	OR51R1P	11	-1.02027811538651	3.14252160973339	-3.74273367122486	0.000475827708667457	0.213440449184599	-0.207207117593867
ENSG00000156875	protein_coding	MFSD14A	1	-0.390889737194955	1.81865198690211	-3.71776585215477	0.000513990430213035	0.213542449740138	-0.668896262251054
ENSG00000142227	protein_coding	EMP3	19	-0.437587466311466	6.40233225214468	-3.71593069814857	0.000516908505105647	0.213542449740138	-0.206494990841355
ENSG00000100949	protein_coding	RABGGTA	14	-0.466163674854772	3.81749072819821	-3.69369174404814	0.00055355935548066	0.213542449740138	-0.291448356012006
ENSG00000182158	protein_coding	CREB3L2	7	-0.465214866590695	6.07009953290644	-3.68670749562616	0.000565575513933419	0.213542449740138	-0.281817892631483
ENSG00000225964	lncRNA	NRIR	2	-1.57015997799677	2.64296079581771	-3.68352616095346	0.000571131481714574	0.213542449740138	-0.323368478784561
ENSG00000187474	protein_coding	FPR3	19	-1.3318517154708	0.866831865628539	-3.68344943582829	0.000571266121025857	0.213542449740138	-0.933907480007539
ENSG00000172771	protein_coding	EFCAB12	3	0.955320373120465	1.93893718906614	3.65102469801054	0.000630975323648033	0.228088467894107	-0.863898322686538
ENSG00000145287	protein_coding	PLAC8	4	-0.705115940410176	7.25906369809124	-3.64407177096113	0.00064453606762872	0.228088467894107	-0.413754216936261
ENSG00000106785	protein_coding	TRIM14	9	-0.646566257078825	6.88460401424176	-3.63580256250443	0.000661027736335748	0.228088467894107	-0.427084330416452
ENSG00000105438	protein_coding	KDELR1	19	-0.282262861878748	4.79621453747004	-3.60845173370526	0.000718502908607543	0.241722341028293	-0.490041711178351
ENSG00000173706	protein_coding	HEG1	3	-0.716567602352983	5.58618403087305	-3.59912665213657	0.000739169988790068	0.24261001314995	-0.513331708234045
ENSG00000225101	transcribed_unprocessed_pseudogene	OR52K3P	11	-0.976009530171067	4.96289479076867	-3.58408561852621	0.000773708858815811	0.244682895582401	-0.55284978389908
ENSG00000130164	protein_coding	LDLR	19	-0.861326975320909	4.53716153589155	-3.58063365537276	0.000781850673258768	0.244682895582401	-0.562817746551471
ENSG00000181963	protein_coding	OR52K2	11	-1.06829010893037	3.16338397483209	-3.57088517474222	0.000805288259219499	0.244877807372968	-0.642397097630823
ENSG00000163872	protein_coding	YEATS2	3	-0.295564486743471	5.98583741370109	-3.56536046251758	0.000818867602867174	0.244877807372968	-0.601941974606841
ENSG00000132256	protein_coding	TRIM5	11	-0.9638796411265	5.06539571549593	-3.55331525797183	0.000849236639561187	0.248438640403802	-0.633382998954907
ENSG00000141971	protein_coding	MVB12A	19	-0.361899351662853	4.1354654555905	-3.5438565946869	0.000873835677427812	0.250195887471193	-0.664715522282745
ENSG00000130303	protein_coding	BST2	19	-0.94679667330668	5.97820263173305	-3.53592669878504	0.000894981968028904	0.250911923828437	-0.678621147406063
ENSG00000266074	protein_coding	BAHCC1	17	-0.842327093985805	3.0017891056758	-3.50490877233767	0.000982484824338024	0.258112225360094	-0.814128250016908
ENSG00000269720	protein_coding	CCDC194	19	-1.28243513407856	1.11017648421579	-3.5029374372103	0.000988313491149139	0.258112225360094	-1.05188173144703
ENSG00000124549	transcribed_unprocessed_pseudogene	BTN2A3P	6	-0.502128975178443	2.57776610698757	-3.50056863327715	0.000995360994181289	0.258112225360094	-0.865580617215815
ENSG00000184584	protein_coding	TMEM173	5	-0.417556260410649	5.11598953255078	-3.49989064173166	0.000997386915265282	0.258112225360094	-0.772304811036169
ENSG00000117010	protein_coding	ZNF684	1	-0.831503173836085	2.08962726255599	-3.4925333620189	0.00101962577247332	0.258888755097612	-0.92837278757726
